id,partenza,arrivo,tappa1,distanza1,tappa2,distanza2,tappa3,distanza3,tappa4,distanza4,tappa5,distanza5,distanza_a_destinazione
373,Conad Metato,Parcheggio Via Paparelli,,,,,,,,,,,6.54
374,Hotel Galilei Pisa,Decathlon Pisa,Via Cisanello 170,5.04,Ristorante Pizzeria Il Pellicano,2.34,,,,,,,1.03
375,Via Angelo Battelli 5,Parcheggio Via Paparelli,Parcheggio di Cisanello,2.22,,,,,,,,,2.36
376,Stazione Leopolda,Ristorante Il Lago (Nodica),Hotel Galilei Pisa,3.76,Hotel San Ranieri,6.07,,,,,,,5.87
377,Ristorante Galileo,McDonald's Pisa Aurelia,Pizzeria Pisanova,0.35,Supermercato Coop Ghezzano,5.43,,,,,,,9.34
378,Conad Metato,Conad Pian di Marco,Parcheggio Migliarino,8.67,Piscina Comunale Camalich,17.16,Via Montanelli 66,6.22,Carrefour Express Pisanova,0.75,Ristorante Tuscany 2,1.16,4.78
379,Eurospin Ospedaletto,Via Angelo Battelli 5,Polo Fibonacci,7.57,Supermercato Coop Ghezzano,5.1,,,,,,,5.7
380,Via Montanelli 66,Facolta di Ingegneria Polo A,,,,,,,,,,,0.81
381,Centro Commerciale Pisanova,Ristorante Tuscany 2,Parcheggio Migliarino,14.93,,,,,,,,,14.18
382,Eurospin Ospedaletto,Decathlon Pisa,,,,,,,,,,,6.59
383,McDonald's Pisa Aurelia,Polo Fibonacci,Via Gabriele Vettori 18,3.39,Euronics Pisa Cisanello,2.2,,,,,,,2.56
384,Via Angelo Battelli 5,Facolta di Ingegneria Polo A,MD Discount Riglione,5.4,Hotel Continental Tirrenia,18.48,,,,,,,19.58
385,Ipercoop Pisa,Conad La Vettola,Esselunga Cisanello,1.29,Hotel Galilei Pisa,5.26,Supermercato Coop Ghezzano,11.15,,,,,10.95
386,Stazione Pisa Centrale,Hotel Continental Tirrenia,MD Discount Riglione,5.18,Polo Fibonacci,6.02,Via San Ranieri 9,1.39,OBI Pisa,4.88,Hotel San Ranieri,5.86,18.87
387,Ristorante Da Stefano (Tirrenia),Stazione San Rossore,MD Discount Riglione,20.8,Carrefour Express Pisanova,3.96,Piscina Comunale Camalich,5.62,Ristorante Galileo,6.56,MediaWorld Pisa,0.74,2.95
388,MD Discount Riglione,Conad Pian di Marco,Parco San Rossore,6.49,Farmacia Cisanello,4.5,Piscina Comunale Camalich,7.64,Ristorante Il Mio Capriccio,4.87,,,2.67
389,Conad Metato,Via Cisanello 170,McDonald's Barbaricina,11.03,Conad La Vettola,2.16,Via Montanelli 66,6.58,Stazione San Rossore,2.03,,,3.51
390,Ristorante Pizzeria Il Pellicano,Conad La Vettola,Farmacia Cisanello,2.95,Parcheggio Migliarino,14.13,Carrefour Express Pisanova,13.62,Lidl Pisa,2.36,,,5.74
391,Via Montanelli 66,Parcheggio Porto di Marina,Ristorante Pizzeria Il Pellicano,1.62,Via Aretino Spinello 11,1.85,Supermercato Coop San Giusto,1.96,,,,,13.46
392,Centro Commerciale Pisanova,Via San Ranieri 9,Farmacia Cisanello,1.2,Via Montanelli 66,2.02,Piscina Comunale Camalich,6.29,,,,,7.23
393,Esselunga Cisanello,Parco San Rossore,Euronics Pisa Cisanello,1.05,Stazione Pisa Centrale,2.16,Conad La Vettola,6.38,,,,,4.42
394,Ristorante Da Stefano (Tirrenia),Parcheggio Porto di Marina,Supermercato Coop Ghezzano,24.53,,,,,,,,,20.84
395,Hotel Continental Tirrenia,McDonald's Pisa Aurelia,Supermercato Coop Ghezzano,23.61,Ristorante Il Rustichello - San Piero,10.68,Conad Metato,12.97,Parcheggio San Giuliano Terme,0.53,Facolta di Ingegneria Polo A,8.54,3.41
396,Hotel Galilei Pisa,Ristorante Il Mio Capriccio,Parcheggio Via Paparelli,7.53,,,,,,,,,4.26
397,Via San Ranieri 9,Ristorante Da Stefano (Tirrenia),,,,,,,,,,,19
398,Centro Commerciale Pisanova,Parcheggio Porto di Marina,Hotel Galilei Pisa,4.4,Torre,5.77,Parcheggio di Cisanello,3.46,,,,,17.8
399,Polo Fibonacci,OBI Pisa,Ristorante Il Rustichello - San Piero,7.01,Pizzeria Colignola,9.54,Supermercato Coop Ghezzano,6.08,Facolta di Ingegneria Polo A,5.04,Ristorante Pizzeria Il Pellicano,2.29,2.53
400,Ristorante Da Stefano (Tirrenia),Conad Pian di Marco,OBI Pisa,15.59,Decathlon Pisa,4.02,Via Gabriele Vettori 18,2.17,,,,,3.3
401,Via Gabriele Vettori 18,Centro Commerciale Darsena (Tirrenia),Universita di Pisa,0.66,Stazione San Rossore,2.95,Via del Borghetto 102,2.61,,,,,19.72
402,Via San Ranieri 9,Stazione San Rossore,,,,,,,,,,,3.72
403,Euronics Pisa Cisanello,Conad La Vettola,Piscina Comunale Camalich,5.03,Ristorante Il Rustichello - San Piero,3.8,Ristorante Pizzeria Il Pellicano,5.94,,,,,6.3
404,Via Cisanello 170,Ristorante Tuscany 2,Parcheggio San Giuliano Terme,7.88,,,,,,,,,9.03
405,Lidl Pisa,MediaWorld Pisa,,,,,,,,,,,2.86
406,Piscina Comunale Camalich,Via Aretino Spinello 11,Ristorante Il Rustichello - San Piero,3.7,Facolta di Ingegneria Polo A,6.28,,,,,,,0.97
407,Parcheggio Porto di Marina,Farmacia Cisanello,Via del Borghetto 102,17.5,Via Gabriele Vettori 18,0.63,Decathlon Pisa,2.15,Eurospin Ospedaletto,6,McDonald's Barbaricina,6.21,7.77
408,McDonald's Barbaricina,MediaWorld Pisa,Stazione San Rossore,4.55,Farmacia Cisanello,3.83,Carrefour Express Pisanova,1.52,,,,,0.5
409,Ristorante Il Rustichello - San Piero,Stazione Pisa Centrale,Centro Commerciale Darsena (Tirrenia),16.3,Hotel San Ranieri,24.13,Parcheggio San Giuliano Terme,8.88,,,,,10.91
410,MD Discount Riglione,Pizzeria Colignola,McDonald's Barbaricina,9.47,McDonald's Pisa Aurelia,4.73,,,,,,,5.78
411,Lidl Pisa,Facolta di Ingegneria Polo A,MD Discount Riglione,5.73,Parcheggio San Giuliano Terme,12.72,Conad La Vettola,13.82,,,,,7.31
412,MD Discount Riglione,Via San Ranieri 9,Ristorante Tuscany 2,3.91,Supermercato Coop Ghezzano,6.07,Hotel Galilei Pisa,9.8,,,,,5.94
413,Pizzeria Colignola,Universita di Pisa,Ristorante La Greppia,3.81,McDonald's Pisa Aurelia,1.46,,,,,,,4.16
414,Conad Pian di Marco,Decathlon Pisa,Torre,3.98,Via Angelo Battelli 5,1.48,Hotel San Ranieri,2.66,Lidl Pisa,3.98,Ristorante Galileo,2.97,1.12
415,Esselunga Cisanello,Universita di Pisa,Centro Commerciale Darsena (Tirrenia),20.81,Parcheggio Porto di Marina,6.03,Hotel Galilei Pisa,13.06,,,,,5.54
416,Ipercoop Pisa,Ristorante Pizzeria Il Pellicano,Centro Commerciale Pisanova,0.92,Euronics Pisa Cisanello,0.52,,,,,,,1.66
417,Ristorante La Greppia,Conad La Vettola,Stazione San Rossore,1.77,Ristorante Pizzeria Il Pellicano,2.01,Facolta di Ingegneria Polo A,2.39,Conad Metato,7.96,,,12.98
418,Carrefour Express Pisanova,Parcheggio Via Paparelli,Lidl Pisa,2.64,Via Cisanello 170,3.58,Via San Ranieri 9,0.53,,,,,2.28
419,Torre,Conad Metato,Parcheggio Porto di Marina,16.61,Parcheggio Via Paparelli,17.14,Eurospin Ospedaletto,9.28,Via Montanelli 66,6.93,,,9.33
420,Hotel Galilei Pisa,Centro Commerciale Pisanova,Stazione San Rossore,3.16,McDonald's Pisa Aurelia,1.52,,,,,,,3.74
421,Esselunga Cisanello,Hotel San Ranieri,,,,,,,,,,,0.69
422,Stazione San Rossore,Stazione Pisa Centrale,Pizzeria Pisanova,2.96,,,,,,,,,2.27
423,Ipercoop Pisa,MD Discount Riglione,Hotel Continental Tirrenia,19.28,Supermercato Coop San Giusto,15.69,Via Cisanello 170,3.95,Lidl Pisa,3.52,Supermercato Coop Ghezzano,7.28,9.67
424,Parcheggio San Giuliano Terme,Supermercato Coop Ghezzano,Piscina Comunale Camalich,15.01,,,,,,,,,11.24
425,Carrefour Express Pisanova,Ristorante Il Mio Capriccio,Ristorante Il Rustichello - San Piero,6.09,,,,,,,,,5.7
426,Parcheggio Migliarino,Conad Pian di Marco,Via Cisanello 170,15.86,MD Discount Riglione,4.47,Ristorante Il Rustichello - San Piero,8.89,,,,,3.18
427,Via San Ranieri 9,Via Cisanello 170,Lidl Pisa,3.16,Ristorante Il Rustichello - San Piero,4.43,Ipercoop Pisa,7.46,Stazione Leopolda,2.57,Via Montanelli 66,1.03,1.53
428,Parcheggio Migliarino,Lidl Pisa,Eurospin Ospedaletto,16.97,Hotel San Ranieri,8.56,McDonald's Pisa Aurelia,5.06,Ristorante Il Rustichello - San Piero,3.25,Ristorante Pizzeria Il Pellicano,5.56,2.1
429,Universita di Pisa,Eurospin Ospedaletto,McDonald's Pisa Aurelia,3.86,,,,,,,,,3.84
430,Piscina Comunale Camalich,Torre,Ipercoop Pisa,5.17,MD Discount Riglione,3.44,Via Gabriele Vettori 18,5.96,Ristorante Il Lago (Nodica),6.27,Conad Metato,2.64,7.19
431,Hotel San Ranieri,Ristorante Pizzeria Il Pellicano,Parco San Rossore,4.14,,,,,,,,,2.29
432,Parcheggio Porto di Marina,Hotel Continental Tirrenia,Conad Pian di Marco,12.36,Via Aretino Spinello 11,2.6,Hotel Galilei Pisa,4.19,Ristorante La Greppia,2.76,Stazione Pisa Centrale,0.78,18.77
433,Decathlon Pisa,Centro Commerciale Pisanova,Hotel Galilei Pisa,3.58,Via Gabriele Vettori 18,4.64,Polo Fibonacci,0.54,Parcheggio San Giuliano Terme,8.19,Lidl Pisa,10.02,2.63
434,Parcheggio Via Paparelli,MD Discount Riglione,,,,,,,,,,,6.71
435,Parcheggio Via Paparelli,Decathlon Pisa,MediaWorld Pisa,3.9,,,,,,,,,0.33
436,Pizzeria Pisanova,Via Montanelli 66,Hotel San Ranieri,1.17,Parcheggio Via Paparelli,2.43,,,,,,,2.86
437,Supermercato Coop Ghezzano,Conad Metato,McDonald's Barbaricina,9.77,Ristorante Da Stefano (Tirrenia),16.82,,,,,,,26.06
438,Parcheggio Via Paparelli,Ristorante Da Stefano (Tirrenia),Lidl Pisa,4.19,Via Montanelli 66,1.77,Ristorante Galileo,1.42,Facolta di Ingegneria Polo A,1.99,Centro Commerciale Pisanova,1.86,21.57
439,Parcheggio Migliarino,Ipercoop Pisa,Centro Commerciale Darsena (Tirrenia),28.78,,,,,,,,,21.57
440,Via Angelo Battelli 5,Eurospin Ospedaletto,Ristorante Tuscany 2,2.66,Parcheggio Porto di Marina,18.35,Conad La Vettola,10.67,Supermercato Coop Ghezzano,10.31,,,11.69
441,Supermercato Coop San Giusto,Supermercato Coop Ghezzano,Via del Borghetto 102,2.82,Stazione Pisa Centrale,2.4,Hotel Galilei Pisa,3.09,Facolta di Ingegneria Polo A,5.61,Via Cisanello 170,1.86,5.26
442,Parcheggio San Giuliano Terme,Ristorante Galileo,Ristorante Il Mio Capriccio,10.14,,,,,,,,,1.31
443,Euronics Pisa Cisanello,Via Aretino Spinello 11,Stazione Pisa Centrale,2.16,Via Cisanello 170,2.95,,,,,,,2.37
444,Parcheggio Via Paparelli,Ristorante Il Mio Capriccio,Via Angelo Battelli 5,2.59,Hotel Galilei Pisa,4.71,Hotel Continental Tirrenia,13.34,Pizzeria Colignola,19.22,,,2.61
445,Parcheggio di Cisanello,MediaWorld Pisa,Supermercato Coop Ghezzano,5.15,,,,,,,,,6.99
446,Esselunga Cisanello,Conad Pian di Marco,,,,,,,,,,,4.18
447,Parcheggio Via Paparelli,Farmacia Cisanello,,,,,,,,,,,2.87
448,Ipercoop Pisa,Via Montanelli 66,Hotel San Ranieri,2.02,,,,,,,,,2.08
449,Ristorante Il Rustichello - San Piero,Universita di Pisa,,,,,,,,,,,7.1
450,Conad Pian di Marco,Parcheggio Migliarino,,,,,,,,,,,14.38
451,Decathlon Pisa,Stazione Pisa Centrale,,,,,,,,,,,1.76
452,Parcheggio Migliarino,Ristorante Galileo,,,,,,,,,,,13.89
453,Supermercato Coop San Giusto,Decathlon Pisa,Ristorante Galileo,2.97,Parcheggio Porto di Marina,16.14,Parcheggio Migliarino,22.66,,,,,14.38
454,MediaWorld Pisa,Hotel San Ranieri,Conad Pian di Marco,3.48,Stazione San Rossore,1.6,,,,,,,4.43
455,Ristorante La Greppia,Conad La Vettola,Centro Commerciale Pisanova,1.94,Stazione Pisa Centrale,2.18,,,,,,,5.95
456,Parco San Rossore,Supermercato Coop San Giusto,Parcheggio Via Paparelli,4.35,Decathlon Pisa,3.66,Conad Metato,10.82,Via Angelo Battelli 5,8.86,Centro Commerciale Pisanova,2.09,2.84
457,Ristorante Da Stefano (Tirrenia),Stazione San Rossore,Pizzeria Colignola,23.4,Parcheggio di Cisanello,1.63,Farmacia Cisanello,0.36,Centro Commerciale Pisanova,1.32,,,3.11
458,Hotel Continental Tirrenia,Via Montanelli 66,Eurospin Ospedaletto,11.55,MediaWorld Pisa,6.38,Pizzeria Pisanova,0.53,Parco San Rossore,3.41,Centro Commerciale Darsena (Tirrenia),17.59,20.46
459,Universita di Pisa,Decathlon Pisa,Parcheggio di Cisanello,1.53,Ipercoop Pisa,1.69,,,,,,,0.57
460,MD Discount Riglione,Hotel Galilei Pisa,Parcheggio Migliarino,17.53,,,,,,,,,15.72
461,Euronics Pisa Cisanello,Ristorante Pizzeria Il Pellicano,Hotel Galilei Pisa,4.81,Parco San Rossore,3.33,Facolta di Ingegneria Polo A,2.83,,,,,2.29
462,Parcheggio San Giuliano Terme,Parcheggio Migliarino,,,,,,,,,,,9.91
463,Stazione Leopolda,Ristorante Il Rustichello - San Piero,Centro Commerciale Darsena (Tirrenia),20.2,Ristorante Il Mio Capriccio,21.84,,,,,,,6.03
464,Esselunga Cisanello,Eurospin Ospedaletto,,,,,,,,,,,7.43
465,Conad La Vettola,Ristorante Da Stefano (Tirrenia),Torre,5.82,Supermercato Coop Ghezzano,4.48,Conad Metato,3.76,Stazione Leopolda,8.65,Via San Ranieri 9,2.57,22.6
466,Esselunga Cisanello,Ristorante Da Stefano (Tirrenia),Eurospin Ospedaletto,8.01,Universita di Pisa,7.11,Decathlon Pisa,2.12,Supermercato Coop San Giusto,2.54,,,16.7
467,Ristorante Pizzeria Il Pellicano,Carrefour Express Pisanova,Eurospin Ospedaletto,5.25,Piscina Comunale Camalich,1.29,Decathlon Pisa,4.99,Via del Borghetto 102,2.54,,,2.02
468,Parco San Rossore,Ristorante Il Rustichello - San Piero,Via Montanelli 66,2.54,Parcheggio Via Paparelli,2.59,,,,,,,8.16
469,Decathlon Pisa,Ristorante Il Rustichello - San Piero,Facolta di Ingegneria Polo A,2.27,,,,,,,,,6.54
470,Conad Pian di Marco,Esselunga Cisanello,Facolta di Ingegneria Polo A,4.06,Ristorante Il Rustichello - San Piero,6.17,,,,,,,7.28
471,Ristorante Pizzeria Il Pellicano,Eurospin Ospedaletto,Hotel Galilei Pisa,3.17,Stazione San Rossore,3.41,Centro Commerciale Darsena (Tirrenia),19.44,Farmacia Cisanello,22.88,Supermercato Coop San Giusto,3.93,4.63
472,Decathlon Pisa,MD Discount Riglione,OBI Pisa,3.68,,,,,,,,,6.25
473,Stazione Pisa Centrale,Eurospin Ospedaletto,Piscina Comunale Camalich,4.3,Conad La Vettola,6.38,Parcheggio Porto di Marina,10.33,Parco San Rossore,14.07,,,4.76
474,Parco San Rossore,McDonald's Pisa Aurelia,Ipercoop Pisa,3.38,Hotel Continental Tirrenia,19.19,Stazione Pisa Centrale,16.4,Ristorante Da Stefano (Tirrenia),19.73,MD Discount Riglione,21.39,6.09
475,Eurospin Ospedaletto,Hotel San Ranieri,Centro Commerciale Darsena (Tirrenia),13.91,MediaWorld Pisa,22.92,,,,,,,1.76
476,Supermercato Coop Ghezzano,Ristorante Il Rustichello - San Piero,Universita di Pisa,5.12,MD Discount Riglione,5.46,McDonald's Pisa Aurelia,5.65,Ipercoop Pisa,3.15,Supermercato Coop San Giusto,2.86,4.04
477,Stazione Leopolda,Parcheggio di Cisanello,Lidl Pisa,0.88,McDonald's Barbaricina,4.46,,,,,,,7.19
478,Pizzeria Colignola,Hotel Galilei Pisa,Ristorante Pizzeria Il Pellicano,3.5,Parco San Rossore,2.17,Stazione Pisa Centrale,1.22,,,,,3.12
479,Ristorante Pizzeria Il Pellicano,Supermercato Coop San Giusto,Stazione Leopolda,1.41,,,,,,,,,1.48
480,Polo Fibonacci,Decathlon Pisa,Via Angelo Battelli 5,0.87,Carrefour Express Pisanova,1.67,Parco San Rossore,3.12,OBI Pisa,1.91,,,3.35
481,Ipercoop Pisa,Conad La Vettola,Torre,3.69,Esselunga Cisanello,3.47,,,,,,,8.55
482,Lidl Pisa,Ristorante Tuscany 2,Supermercato Coop San Giusto,1.35,Farmacia Cisanello,3.79,Esselunga Cisanello,0.47,Conad La Vettola,8.82,,,9.32
483,Farmacia Cisanello,Via Aretino Spinello 11,Ristorante La Greppia,3.37,Hotel San Ranieri,3.33,Conad Metato,8.96,Lidl Pisa,9.87,,,1.19
484,Universita di Pisa,Via Cisanello 170,,,,,,,,,,,1.56
485,Parcheggio di Cisanello,Stazione Leopolda,Stazione Pisa Centrale,2.73,McDonald's Barbaricina,5.16,,,,,,,5.01
486,OBI Pisa,Via Gabriele Vettori 18,Parcheggio Porto di Marina,13.5,Stazione Pisa Centrale,16.08,,,,,,,1.72
487,Piscina Comunale Camalich,Farmacia Cisanello,Ristorante La Greppia,3.58,Hotel Continental Tirrenia,16.58,Stazione Pisa Centrale,16.1,Via Cisanello 170,2.92,Supermercato Coop Ghezzano,5.16,5.06
488,Via Angelo Battelli 5,Universita di Pisa,Stazione Pisa Centrale,1.43,,,,,,,,,2.39
489,Ristorante Galileo,Torre,Parcheggio Via Paparelli,3.29,Via Cisanello 170,2.67,Ristorante Da Stefano (Tirrenia),21.8,,,,,20.17
490,Via Aretino Spinello 11,Ristorante La Greppia,,,,,,,,,,,1.98
491,Ristorante Il Mio Capriccio,Ipercoop Pisa,Supermercato Coop San Giusto,2.19,Torre,3.45,Parcheggio di Cisanello,3.12,Via del Borghetto 102,2.12,,,3.18
492,MD Discount Riglione,Parcheggio San Giuliano Terme,Euronics Pisa Cisanello,3.7,Torre,3.57,,,,,,,7.27
493,Via del Borghetto 102,Hotel Galilei Pisa,,,,,,,,,,,5.28
494,Parcheggio Migliarino,McDonald's Barbaricina,Conad Pian di Marco,14.29,Pizzeria Pisanova,3.79,Ristorante Tuscany 2,0.83,Stazione Leopolda,3.06,OBI Pisa,3.01,4.98
495,Ristorante Pizzeria Il Pellicano,Parcheggio Migliarino,Via del Borghetto 102,2.55,Universita di Pisa,0.4,Hotel Galilei Pisa,5.17,Facolta di Ingegneria Polo A,4.91,Ristorante Da Stefano (Tirrenia),18.56,27.94
496,Via San Ranieri 9,Esselunga Cisanello,Stazione Pisa Centrale,3.04,Centro Commerciale Darsena (Tirrenia),20.72,Ristorante Da Stefano (Tirrenia),1.53,Ristorante Il Lago (Nodica),26.97,,,6.77
497,Ristorante Il Mio Capriccio,Supermercato Coop Ghezzano,Farmacia Cisanello,2.35,Centro Commerciale Pisanova,1.35,Polo Fibonacci,1.79,Carrefour Express Pisanova,1.66,,,5.64
498,Ristorante Galileo,Ristorante Il Mio Capriccio,Ristorante Da Stefano (Tirrenia),21.35,Eurospin Ospedaletto,12.93,McDonald's Barbaricina,6.34,Conad Metato,10.89,,,9.73
499,Via Montanelli 66,Parcheggio di Cisanello,Pizzeria Pisanova,1.17,Parcheggio Porto di Marina,16.7,Via Gabriele Vettori 18,18.17,,,,,1.96
500,Parco San Rossore,Ristorante La Greppia,Conad Pian di Marco,1.45,,,,,,,,,1.57
501,Ristorante Il Lago (Nodica),Conad Pian di Marco,Hotel Galilei Pisa,10.28,,,,,,,,,1.7
502,Conad Pian di Marco,Euronics Pisa Cisanello,,,,,,,,,,,3.63
503,Ristorante La Greppia,Parcheggio di Cisanello,Via San Ranieri 9,3.12,Stazione Pisa Centrale,2.99,,,,,,,2.95
504,Ristorante Tuscany 2,Centro Commerciale Pisanova,Ristorante Il Lago (Nodica),6.84,Via Aretino Spinello 11,7,,,,,,,2.21
505,Via Gabriele Vettori 18,Ristorante Il Mio Capriccio,Centro Commerciale Darsena (Tirrenia),20.52,MD Discount Riglione,19.99,Stazione San Rossore,5.78,Facolta di Ingegneria Polo A,2.66,,,2.17
506,Hotel Continental Tirrenia,Universita di Pisa,Ristorante Galileo,20.05,Piscina Comunale Camalich,5.55,,,,,,,6.49
507,Lidl Pisa,OBI Pisa,Conad Metato,9.06,,,,,,,,,13.04
508,Via Angelo Battelli 5,Supermercato Coop San Giusto,Via Aretino Spinello 11,0.38,Stazione Pisa Centrale,1.17,Euronics Pisa Cisanello,2.13,,,,,3.01
509,Supermercato Coop San Giusto,Centro Commerciale Darsena (Tirrenia),,,,,,,,,,,20.24
510,Ipercoop Pisa,Ristorante Tuscany 2,Ristorante Il Mio Capriccio,0.83,MD Discount Riglione,3.59,Piscina Comunale Camalich,6.35,Hotel Continental Tirrenia,12.51,Facolta di Ingegneria Polo A,17.44,2.34
511,Parcheggio Via Paparelli,Parcheggio San Giuliano Terme,Pizzeria Colignola,4.05,Farmacia Cisanello,1.24,Centro Commerciale Darsena (Tirrenia),23.53,Stazione San Rossore,20.12,Conad La Vettola,4.62,12.95
512,Parcheggio San Giuliano Terme,Polo Fibonacci,Parcheggio Migliarino,10.83,Pizzeria Colignola,16.98,,,,,,,3.14
513,Universita di Pisa,Stazione San Rossore,Esselunga Cisanello,2.27,Ristorante Il Rustichello - San Piero,8.46,,,,,,,4.51
514,Farmacia Cisanello,MD Discount Riglione,Supermercato Coop Ghezzano,4.9,Polo Fibonacci,5.15,Facolta di Ingegneria Polo A,0.25,Carrefour Express Pisanova,1.69,Ristorante La Greppia,2.09,4.89
515,Ristorante Il Mio Capriccio,Stazione Leopolda,,,,,,,,,,,1.63
516,Supermercato Coop San Giusto,Conad Pian di Marco,Supermercato Coop Ghezzano,8.24,Universita di Pisa,4.34,Conad La Vettola,8.01,,,,,5
517,Parcheggio Migliarino,Lidl Pisa,Pizzeria Pisanova,16.03,Via San Ranieri 9,1.04,OBI Pisa,4.82,,,,,2.73
518,Supermercato Coop San Giusto,Conad La Vettola,Centro Commerciale Pisanova,2.85,Torre,3.24,Conad Metato,7.81,Hotel Continental Tirrenia,25.86,Esselunga Cisanello,21.2,8.49
519,Ristorante Il Mio Capriccio,Parcheggio Via Paparelli,Parcheggio di Cisanello,1.94,Ristorante Il Rustichello - San Piero,7.56,Centro Commerciale Darsena (Tirrenia),14.86,,,,,23.01
520,Farmacia Cisanello,Conad Metato,McDonald's Barbaricina,7.7,Ristorante Tuscany 2,8.22,Ristorante Il Lago (Nodica),7.34,,,,,2.74
521,Esselunga Cisanello,Decathlon Pisa,Ristorante Il Rustichello - San Piero,7.72,Parcheggio Migliarino,15.28,,,,,,,15.44
522,Via Aretino Spinello 11,OBI Pisa,Ipercoop Pisa,2.86,,,,,,,,,4.49
523,Ristorante Galileo,Ristorante La Greppia,Parco San Rossore,3.46,Eurospin Ospedaletto,4.45,Ristorante Il Lago (Nodica),12.19,,,,,8.52
524,Ristorante La Greppia,McDonald's Barbaricina,Euronics Pisa Cisanello,2.23,Via Gabriele Vettori 18,2.54,,,,,,,5.38
525,Decathlon Pisa,Ristorante Pizzeria Il Pellicano,Ristorante La Greppia,1.48,,,,,,,,,0.52
526,Via del Borghetto 102,McDonald's Barbaricina,,,,,,,,,,,5.64
527,Ristorante Il Lago (Nodica),MediaWorld Pisa,OBI Pisa,10.46,,,,,,,,,3.59
528,Stazione Pisa Centrale,Facolta di Ingegneria Polo A,Supermercato Coop Ghezzano,6.79,,,,,,,,,5.22
529,Farmacia Cisanello,Polo Fibonacci,Ristorante Il Lago (Nodica),5.97,Pizzeria Pisanova,7.08,Parcheggio Porto di Marina,17.76,Stazione Leopolda,15.02,McDonald's Pisa Aurelia,2.38,4.2
530,Farmacia Cisanello,Parcheggio San Giuliano Terme,Polo Fibonacci,1.95,Stazione Leopolda,1.6,,,,,,,9.73
531,Stazione San Rossore,Parcheggio di Cisanello,Hotel San Ranieri,4.17,Farmacia Cisanello,0.2,Lidl Pisa,3.88,,,,,3.26
532,McDonald's Barbaricina,Stazione Leopolda,Piscina Comunale Camalich,6.38,MD Discount Riglione,6.35,Pizzeria Pisanova,4.12,Farmacia Cisanello,1.32,Polo Fibonacci,2.21,1.76
533,Via Montanelli 66,Supermercato Coop Ghezzano,Polo Fibonacci,1.15,Parco San Rossore,3.03,,,,,,,8.09
534,Ipercoop Pisa,Conad Metato,Via Montanelli 66,1.71,Via del Borghetto 102,1.11,Ristorante Tuscany 2,2.39,Ristorante Il Mio Capriccio,1.84,,,10.66
535,Polo Fibonacci,Via Cisanello 170,McDonald's Pisa Aurelia,3.63,Via Aretino Spinello 11,2.9,Parcheggio Migliarino,12.91,Parco San Rossore,13.65,Via San Ranieri 9,3.75,0.49
536,Via Cisanello 170,Decathlon Pisa,Via San Ranieri 9,0.46,,,,,,,,,1.75
537,Parcheggio San Giuliano Terme,Parcheggio Porto di Marina,Polo Fibonacci,8.55,Conad Metato,8.03,McDonald's Pisa Aurelia,10.96,Hotel Continental Tirrenia,16.52,Ristorante Il Mio Capriccio,17.77,16.36
538,MD Discount Riglione,Pizzeria Pisanova,Eurospin Ospedaletto,7,Supermercato Coop Ghezzano,13.28,Decathlon Pisa,7.19,Parcheggio San Giuliano Terme,9.32,,,8.34
539,Via Gabriele Vettori 18,Stazione Leopolda,Universita di Pisa,0.67,,,,,,,,,1.67
540,Centro Commerciale Pisanova,Via San Ranieri 9,Pizzeria Pisanova,0.12,Conad Metato,9.89,Ristorante La Greppia,11.81,,,,,3.28
541,Parco San Rossore,Stazione San Rossore,Via Gabriele Vettori 18,2.6,,,,,,,,,1.93
542,Via San Ranieri 9,Hotel Continental Tirrenia,Stazione Pisa Centrale,3.06,Piscina Comunale Camalich,4.18,Ristorante Tuscany 2,6.59,Stazione San Rossore,3.61,Ristorante La Greppia,1.78,17.45
543,Conad La Vettola,Via Gabriele Vettori 18,Ristorante Pizzeria Il Pellicano,7.29,Parcheggio Migliarino,14.26,Via Montanelli 66,13.95,,,,,0.71
544,Pizzeria Pisanova,Ristorante Il Lago (Nodica),Via Aretino Spinello 11,1.93,Via San Ranieri 9,2.35,Ristorante Galileo,1.03,Parcheggio Porto di Marina,15.9,McDonald's Pisa Aurelia,12.79,8.62
545,Parcheggio Migliarino,Eurospin Ospedaletto,McDonald's Pisa Aurelia,15.49,Ristorante Pizzeria Il Pellicano,1.7,Esselunga Cisanello,2.58,Stazione San Rossore,3.63,,,5.34
546,Parcheggio di Cisanello,Ristorante Galileo,Via del Borghetto 102,2.06,,,,,,,,,2.06
547,Centro Commerciale Pisanova,Conad Pian di Marco,Ristorante Da Stefano (Tirrenia),18.4,McDonald's Barbaricina,15.68,Esselunga Cisanello,7.61,,,,,5.02
548,Piscina Comunale Camalich,Hotel San Ranieri,Ipercoop Pisa,4.92,Via Cisanello 170,1.53,,,,,,,0.52
549,Polo Fibonacci,MediaWorld Pisa,Decathlon Pisa,2.31,,,,,,,,,0.29
550,Stazione Pisa Centrale,Centro Commerciale Darsena (Tirrenia),Ristorante Il Mio Capriccio,1.55,,,,,,,,,20.07
551,Via del Borghetto 102,Facolta di Ingegneria Polo A,Torre,1.22,,,,,,,,,1.39
552,Lidl Pisa,Ristorante Tuscany 2,MediaWorld Pisa,2.93,Euronics Pisa Cisanello,0.42,,,,,,,0.84
553,Farmacia Cisanello,Ristorante Il Rustichello - San Piero,,,,,,,,,,,7.41
